Isaiah 2:1,The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.
Isaiah 2:2,"Now it shall come to pass in the latter days That the mountain of the LORD's house Shall be established on the top of the mountains, And shall be exalted above the hills; And all nations shall flow to it."
Isaiah 2:3,"Many people shall come and say, ""Come, and let us go up to the mountain of the LORD, To the house of the God of Jacob; He will teach us His ways, And we shall walk in His paths."" For out of Zion shall go forth the law, And the word of the LORD from Jerusalem."
Isaiah 2:4,"He shall judge between the nations, And rebuke many people; They shall beat their swords into plowshares, And their spears into pruning hooks; Nation shall not lift up sword against nation, Neither shall they learn war anymore."
Isaiah 2:5,"O house of Jacob, come and let us walk In the light of the LORD."
Isaiah 2:6,"For You have forsaken Your people, the house of Jacob, Because they are filled with eastern ways; They are soothsayers like the Philistines, And they are pleased with the children of foreigners."
Isaiah 2:7,"Their land is also full of silver and gold, And there is no end to their treasures; Their land is also full of horses, And there is no end to their chariots."
Isaiah 2:8,"Their land is also full of idols; They worship the work of their own hands, That which their own fingers have made."
Isaiah 2:9,"People bow down, And each man humbles himself; Therefore do not forgive them."
Isaiah 2:10,"Enter into the rock, and hide in the dust, From the terror of the LORD And the glory of His majesty."
Isaiah 2:11,"The lofty looks of man shall be humbled, The haughtiness of men shall be bowed down, And the LORD alone shall be exalted in that day."
Isaiah 2:12,"For the day of the LORD of hosts Shall come upon everything proud and lofty, Upon everything lifted up--And it shall be brought low--"
Isaiah 2:13,"Upon all the cedars of Lebanon that are high and lifted up, And upon all the oaks of Bashan;"
Isaiah 2:14,"Upon all the high mountains, And upon all the hills that are lifted up;"
Isaiah 2:15,"Upon every high tower, And upon every fortified wall;"
Isaiah 2:16,"Upon all the ships of Tarshish, And upon all the beautiful sloops."
Isaiah 2:17,"The loftiness of man shall be bowed down, And the haughtiness of men shall be brought low; The LORD alone will be exalted in that day,"
Isaiah 2:18,But the idols He shall utterly abolish.
Isaiah 2:19,"They shall go into the holes of the rocks, And into the caves of the earth, From the terror of the LORD And the glory of His majesty, When He arises to shake the earth mightily."
Isaiah 2:20,"In that day a man will cast away his idols of silver And his idols of gold, Which they made, each for himself to worship, To the moles and bats,"
Isaiah 2:21,"To go into the clefts of the rocks, And into the crags of the rugged rocks, From the terror of the LORD And the glory of His majesty, When He arises to shake the earth mightily."
Isaiah 2:22,"Sever yourselves from such a man, Whose breath is in his nostrils; For of what account is he?"
