book,chapter,verse,text
Isaiah,1,1,"The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah."
Isaiah,1,2,"Hear, O heavens, and give ear, O earth! For the LORD has spoken: ""I have nourished and brought up children, And they have rebelled against Me;"
Isaiah,1,3,"The ox knows its owner And the donkey its master's crib; But Israel does not know, My people do not consider."""
Isaiah,1,4,"Alas, sinful nation, A people laden with iniquity, A brood of evildoers, Children who are corrupters! They have forsaken the LORD, They have provoked to anger The Holy One of Israel, They have turned away backward."
Isaiah,1,5,"Why should you be stricken again? You will revolt more and more. The whole head is sick, And the whole heart faints."
Isaiah,1,6,"From the sole of the foot even to the head, There is no soundness in it, But wounds and bruises and putrefying sores; They have not been closed or bound up, Or soothed with ointment."
Isaiah,1,7,"Your country is desolate, Your cities are burned with fire; Strangers devour your land in your presence; And it is desolate, as overthrown by strangers."
Isaiah,1,8,"So the daughter of Zion is left as a booth in a vineyard, As a hut in a garden of cucumbers, As a besieged city."
Isaiah,1,9,"Unless the LORD of hosts Had left to us a very small remnant, We would have become like Sodom, We would have been made like Gomorrah."
Isaiah,1,10,"Hear the word of the LORD, You rulers of Sodom; Give ear to the law of our God, You people of Gomorrah:"
Isaiah,1,11,"""To what purpose is the multitude of your sacrifices to Me?"" Says the LORD. ""I have had enough of burnt offerings of rams And the fat of fed cattle. I do not delight in the blood of bulls, Or of lambs or goats."
Isaiah,1,12,"""When you come to appear before Me, Who has required this from your hand, To trample My courts?"
Isaiah,1,13,"Bring no more futile sacrifices; Incense is an abomination to Me. The New Moons, the Sabbaths, and the calling of assemblies, I cannot endure iniquity and the sacred meeting."
Isaiah,1,14,"Your New Moons and your appointed feasts My soul hates; They are a trouble to Me, I am weary of bearing them."
Isaiah,1,15,"When you spread out your hands, I will hide My eyes from you; Even though you make many prayers, I will not hear. Your hands are full of blood."
Isaiah,1,16,"""Wash yourselves, make yourselves clean; Put away the evil of your doings from before My eyes. Cease to do evil,"
Isaiah,1,17,"Learn to do good; Seek justice, Rebuke the oppressor; Defend the fatherless, Plead for the widow."
Isaiah,1,18,"""Come now, and let us reason together,"" Says the LORD, ""Though your sins are like scarlet, They shall be as white as snow; Though they are red like crimson, They shall be as wool."
Isaiah,1,19,"If you are willing and obedient, You shall eat the good of the land;"
Isaiah,1,20,"But if you refuse and rebel, You shall be devoured by the sword""; For the mouth of the LORD has spoken."
Isaiah,1,21,"How the faithful city has become a harlot! It was full of justice; Righteousness lodged in it, But now murderers."
Isaiah,1,22,"Your silver has become dross, Your wine mixed with water."
Isaiah,1,23,"Your princes are rebellious, And companions of thieves; Everyone loves bribes, And follows after rewards. They do not defend the fatherless, Nor does the cause of the widow come before them."
Isaiah,1,24,"Therefore the Lord says, The LORD of hosts, the Mighty One of Israel, ""Ah, I will rid Myself of My adversaries, And take vengeance on My enemies."
Isaiah,1,25,"I will turn My hand against you, And thoroughly purge away your dross, And take away all your alloy."
Isaiah,1,26,"I will restore your judges as at the first, And your counselors as at the beginning. Afterward you shall be called the city of righteousness, the faithful city."""
Isaiah,1,27,"Zion shall be redeemed with justice, And her penitents with righteousness."
Isaiah,1,28,"The destruction of transgressors and of sinners shall be together, And those who forsake the LORD shall be consumed."
Isaiah,1,29,For they shall be ashamed of the terebinth trees Which you have desired; And you shall be embarrassed because of the gardens Which you have chosen.
Isaiah,1,30,"For you shall be as a terebinth whose leaf fades, And as a garden that has no water."
Isaiah,1,31,"The strong shall be as tinder, And the work of it as a spark; Both will burn together, And no one shall quench them."
Isaiah,2,1,The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.
Isaiah,2,2,"Now it shall come to pass in the latter days That the mountain of the LORD's house Shall be established on the top of the mountains, And shall be exalted above the hills; And all nations shall flow to it."
Isaiah,2,3,"Many people shall come and say, ""Come, and let us go up to the mountain of the LORD, To the house of the God of Jacob; He will teach us His ways, And we shall walk in His paths."" For out of Zion shall go forth the law, And the word of the LORD from Jerusalem."
Isaiah,2,4,"He shall judge between the nations, And rebuke many people; They shall beat their swords into plowshares, And their spears into pruning hooks; Nation shall not lift up sword against nation, Neither shall they learn war anymore."
Isaiah,2,5,"O house of Jacob, come and let us walk In the light of the LORD."
Isaiah,2,6,"For You have forsaken Your people, the house of Jacob, Because they are filled with eastern ways; They are soothsayers like the Philistines, And they are pleased with the children of foreigners."
Isaiah,2,7,"Their land is also full of silver and gold, And there is no end to their treasures; Their land is also full of horses, And there is no end to their chariots."
Isaiah,2,8,"Their land is also full of idols; They worship the work of their own hands, That which their own fingers have made."
Isaiah,2,9,"People bow down, And each man humbles himself; Therefore do not forgive them."
Isaiah,2,10,"Enter into the rock, and hide in the dust, From the terror of the LORD And the glory of His majesty."
Isaiah,2,11,"The lofty looks of man shall be humbled, The haughtiness of men shall be bowed down, And the LORD alone shall be exalted in that day."
Isaiah,2,12,"For the day of the LORD of hosts Shall come upon everything proud and lofty, Upon everything lifted up, And it shall be brought low."
Isaiah,2,13,"Upon all the cedars of Lebanon that are high and lifted up, And upon all the oaks of Bashan;"
Isaiah,2,14,"Upon all the high mountains, And upon all the hills that are lifted up;"
Isaiah,2,15,"Upon every high tower, And upon every fortified wall;"
Isaiah,2,16,"Upon all the ships of Tarshish, And upon all the beautiful sloops."
Isaiah,2,17,"The loftiness of man shall be bowed down, And the haughtiness of men shall be brought low; The LORD alone will be exalted in that day,"
Isaiah,2,18,But the idols He shall utterly abolish.
Isaiah,2,19,"They shall go into the holes of the rocks, And into the caves of the earth, From the terror of the LORD And the glory of His majesty, When He arises to shake the earth mightily."
Isaiah,2,20,"In that day a man will cast away his idols of silver And his idols of gold, Which they made, each for himself to worship, To the moles and bats,"
Isaiah,2,21,"To go into the clefts of the rocks, And into the crags of the rugged rocks, From the terror of the LORD And the glory of His majesty, When He arises to shake the earth mightily."
Isaiah,2,22,"Sever yourselves from such a man, Whose breath is in his nostrils; For of what account is he?"
Isaiah,3,1,"For behold, the Lord, the LORD of hosts, Takes away from Jerusalem and from Judah The stock and the store, The whole supply of bread and the whole supply of water;"
Isaiah,3,2,"The mighty man and the man of war, The judge and the prophet, And the diviner and the elder;"
Isaiah,3,3,"The captain of fifty and the honorable man, The counselor and the skillful artisan, And the expert enchanter."
Isaiah,3,4,"""I will give children to be their princes, And babes shall rule over them."
Isaiah,3,5,"The people will be oppressed, Every one by another and every one by his neighbor; The child will be insolent toward the elder, And the base toward the honorable."""
