Isaiah 3:1,"For behold, the Lord, the LORD of hosts, Takes away from Jerusalem and from Judah The stock and the store, The whole supply of bread and the whole supply of water;"
Isaiah 3:2,"The mighty man and the man of war, The judge and the prophet, And the diviner and the elder;"
Isaiah 3:3,"The captain of fifty and the honorable man, The counselor and the skillful artisan, And the expert enchanter."
Isaiah 3:4,"""I will give children to be their princes, And babes shall rule over them."
Isaiah 3:5,"The people will be oppressed, Every one by another and every one by his neighbor; The child will be insolent toward the elder, And the base toward the honorable."""
Isaiah 3:6,"When a man takes hold of his brother In the house of his father, saying, ""You have clothing; You be our ruler, And let these ruins be under your power,"""
Isaiah 3:7,"In that day he will protest, saying, ""I cannot cure your ills, For in my house is neither food nor clothing; Do not make me a ruler of the people."""
Isaiah 3:8,"For Jerusalem stumbled, And Judah is fallen, Because their tongue and their doings Are against the LORD, To provoke the eyes of His glory."
Isaiah 3:9,"The look on their countenance witnesses against them, And they declare their sin as Sodom; They do not hide it. Woe to their soul! For they have brought evil upon themselves."
Isaiah 3:10,"""Say to the righteous that it shall be well with them, For they shall eat the fruit of their doings."
Isaiah 3:11,"Woe to the wicked! It shall be ill with him, For the reward of his hands shall be given him."
Isaiah 3:12,"As for My people, children are their oppressors, And women rule over them. O My people! Those who lead you cause you to err, And destroy the way of your paths."""
Isaiah 3:13,"The LORD stands up to plead, And stands to judge the people."
Isaiah 3:14,"The LORD will enter into judgment With the elders of His people And His princes: ""For you have eaten up the vineyard; The plunder of the poor is in your houses."
Isaiah 3:15,"What do you mean by crushing My people And grinding the faces of the poor?"" Says the Lord GOD of hosts."
Isaiah 3:16,"Moreover the LORD says: ""Because the daughters of Zion are haughty, And walk with outstretched necks And wanton eyes, Walking and mincing as they go, Making a jingling with their feet,"
Isaiah 3:17,"Therefore the Lord will strike with a scab The crown of the head of the daughters of Zion, And the LORD will uncover their secret parts."""
Isaiah 3:18,"In that day the Lord will take away the finery: The jingling anklets, the scarves, and the crescents;"
Isaiah 3:19,"The pendants, the bracelets, and the veils;"
Isaiah 3:20,"The headdresses, the leg ornaments, and the headbands; The perfume boxes, the charms,"
Isaiah 3:21,"and the rings; The nose jewels,"
Isaiah 3:22,"the festal apparel, and the mantles; The outer garments, the purses,"
Isaiah 3:23,"and the mirrors; The fine linen, the turbans, and the robes."
Isaiah 3:24,"And so it shall be: Instead of a sweet smell there will be a stench; Instead of a sash, a rope; Instead of well-set hair, baldness; Instead of a rich robe, a girding of sackcloth; And branding instead of beauty. and the rings; The nose jewels,"
Isaiah 3:25,"Your men shall fall by the sword, And your mighty in the war."
Isaiah 3:26,"Her gates shall lament and mourn, And she being desolate shall sit on the ground."
