"(1 pts) According to Isaiah 2:1, The next few verses contain the word that who saw? Be specific?",Isaiah the son of Amoz,Isaiah 2:1 The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.
"(2 pts) According to Isaiah 2:1, Isaiah saw things concerning whom?","Judah, Jerusalem",Isaiah 2:1 The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.
"(1 pts) According to Isaiah 2:2, When would the mountain of the Lord's house be established?",in the latter days,"Isaiah 2:2 Now it shall come to pass in the latter days That the mountain of the LORD's house Shall be established on the top of the mountains, And shall be exalted above the hills; And all nations shall flow to it."
"(1 pts) According to Isaiah 2:2, What would be established in the latter days?",the mountain of the Lord's house,"Isaiah 2:2 Now it shall come to pass in the latter days That the mountain of the LORD's house Shall be established on the top of the mountains, And shall be exalted above the hills; And all nations shall flow to it."
"(2 pts) According to Isaiah 2:2, Where would the mountain of the Lord's house be established in the latter days, and above what would it be exalted?","on the top of the mountains, the hills","Isaiah 2:2 Now it shall come to pass in the latter days That the mountain of the LORD's house Shall be established on the top of the mountains, And shall be exalted above the hills; And all nations shall flow to it."
"(1 pts) According to Isaiah 2:2, Who would flow to the mountain of the Lord's house?",all nations,"Isaiah 2:2 Now it shall come to pass in the latter days That the mountain of the LORD's house Shall be established on the top of the mountains, And shall be exalted above the hills; And all nations shall flow to it."
"(2 pts) According to Isaiah 2:3, Many people would come and say ""Come, and let us go to"" where? Be specific?","the mountain of the Lord, the house of the God of Jacob","Isaiah 2:3 Many people shall come and say, ""Come, and let us go up to the mountain of the LORD, To the house of the God of Jacob; He will teach us His ways, And we shall walk in His paths."" For out of Zion shall go forth the law, And the word of the LORD from Jerusalem."
"(2 pts) According to Isaiah 2:3, What did Isaiah say the Lord would teach us, and what would we walk in?","His ways, His paths","Isaiah 2:3 Many people shall come and say, ""Come, and let us go up to the mountain of the LORD, To the house of the God of Jacob; He will teach us His ways, And we shall walk in His paths."" For out of Zion shall go forth the law, And the word of the LORD from Jerusalem."
"(2 pts) According to Isaiah 2:3, What would go forth out of Zion, and from Jerusalem?","the law, the word of the Lord","Isaiah 2:3 Many people shall come and say, ""Come, and let us go up to the mountain of the LORD, To the house of the God of Jacob; He will teach us His ways, And we shall walk in His paths."" For out of Zion shall go forth the law, And the word of the LORD from Jerusalem."
"(1 pts) According to Isaiah 2:4, Who would God judge between?",the nations,"Isaiah 2:4 He shall judge between the nations, And rebuke many people; They shall beat their swords into plowshares, And their spears into pruning hooks; Nation shall not lift up sword against nation, Neither shall they learn war anymore."
"(4 pts) According to Isaiah 2:4, Fill-in-the-blanks: ""They shall beat their _____ into _____, and their _____ into _____ hooks.""?","swords, plowshares, spears, pruning","Isaiah 2:4 He shall judge between the nations, And rebuke many people; They shall beat their swords into plowshares, And their spears into pruning hooks; Nation shall not lift up sword against nation, Neither shall they learn war anymore."
"(1 pts) According to Isaiah 2:4, What would nation not lift up against nation?",sword,"Isaiah 2:4 He shall judge between the nations, And rebuke many people; They shall beat their swords into plowshares, And their spears into pruning hooks; Nation shall not lift up sword against nation, Neither shall they learn war anymore."
"(1 pts) According to Isaiah 2:4, They would not learn what anymore?",war,"Isaiah 2:4 He shall judge between the nations, And rebuke many people; They shall beat their swords into plowshares, And their spears into pruning hooks; Nation shall not lift up sword against nation, Neither shall they learn war anymore."
"(1 pts) According to Isaiah 2:5, Where was the house of Jacob invited to walk?",in the light of the Lord,"Isaiah 2:5 O house of Jacob, come and let us walk In the light of the LORD."
"(1 pts) According to Isaiah 2:6, Who were God's people that He had forsaken?",the house of Jacob,"Isaiah 2:6 For You have forsaken Your people, the house of Jacob, Because they are filled with eastern ways; They are soothsayers like the Philistines, And they are pleased with the children of foreigners."
"(1 pts) According to Isaiah 2:6, God had forsaken the house of Jacob because they were filled with what?",eastern ways,"Isaiah 2:6 For You have forsaken Your people, the house of Jacob, Because they are filled with eastern ways; They are soothsayers like the Philistines, And they are pleased with the children of foreigners."
"(2 pts) According to Isaiah 2:6, What did God say they were, and who was this like?","soothsayers, the Philistines","Isaiah 2:6 For You have forsaken Your people, the house of Jacob, Because they are filled with eastern ways; They are soothsayers like the Philistines, And they are pleased with the children of foreigners."
"(1 pts) According to Isaiah 2:6, Who were they pleased with?",the children of foreigners,"Isaiah 2:6 For You have forsaken Your people, the house of Jacob, Because they are filled with eastern ways; They are soothsayers like the Philistines, And they are pleased with the children of foreigners."
"(6 pts) According to Isaiah 2:7, What things was their land full of and had no end of?","silver, gold, treasures, horses, chariots, idols","Isaiah 2:7 Their land is also full of silver and gold, And there is no end to their treasures; Their land is also full of horses, And there is no end to their chariots."
"(2 pts) According to Isaiah 2:8, They worshipped the work of what, and that which what had made?","their own hands, their own fingers","Isaiah 2:8 Their land is also full of idols; They worship the work of their own hands, That which their own fingers have made."
"(2 pts) According to Isaiah 2:9, What do people do, and what does each man do?","bow down, humbles himself","Isaiah 2:9 People bow down, And each man humbles himself; Therefore do not forgive them."
"(1 pts) According to Isaiah 2:8, What would God not do because they bowed down to idols and humbled themselves?",forgive them,"Isaiah 2:8 Their land is also full of idols; They worship the work of their own hands, That which their own fingers have made."
"(2 pts) According to Isaiah 2:10, What were they to enter into, and in what were they to hide from the Lord?","the rock, the dust","Isaiah 2:10 Enter into the rock, and hide in the dust, From the terror of the LORD And the glory of His majesty."
"(2 pts) According to Isaiah 2:10, What would they enter into the rock and hide in the dust from?","the terror of the Lord, the glory of His majesty","Isaiah 2:10 Enter into the rock, and hide in the dust, From the terror of the LORD And the glory of His majesty."
"(1 pts) According to Isaiah 2:11, What would be humbled? Be specific?",the lofty looks of man,"Isaiah 2:11 The lofty looks of man shall be humbled, The haughtiness of men shall be bowed down, And the LORD alone shall be exalted in that day."
"(1 pts) According to Isaiah 2:11, What would be bowed down? Be specific?",the haughtiness of men,"Isaiah 2:11 The lofty looks of man shall be humbled, The haughtiness of men shall be bowed down, And the LORD alone shall be exalted in that day."
"(2 pts) According to Isaiah 2:11, Who alone would be exalted, and when?","the Lord, in that day","Isaiah 2:11 The lofty looks of man shall be humbled, The haughtiness of men shall be bowed down, And the LORD alone shall be exalted in that day."
"(1 pts) According to Isaiah 2:12, What will come upon everything proud and lofty?",the day of the Lord of hosts,"Isaiah 2:12 For the day of the LORD of hosts Shall come upon everything proud and lofty, Upon everything lifted up--And it shall be brought low--"
"(2 pts) According to Isaiah 2:12, The day of the Lord of hosts will come upon everything that is what?","proud, lofty","Isaiah 2:12 For the day of the LORD of hosts Shall come upon everything proud and lofty, Upon everything lifted up--And it shall be brought low--"
"(1 pts) According to Isaiah 2:12, What will be brought low in the day of the Lord of hosts?",everything lifted up,"Isaiah 2:12 For the day of the LORD of hosts Shall come upon everything proud and lofty, Upon everything lifted up--And it shall be brought low--"
"(2 pts) According to Isaiah 2:13, The day of the Lord will come upon what two types of trees?","cedars, oaks","Isaiah 2:13 Upon all the cedars of Lebanon that are high and lifted up, And upon all the oaks of Bashan;"
"(2 pts) According to Isaiah 2:13, The day of the Lord will come upon the cedars of where and the oaks of where?","Lebanon, Bashan","Isaiah 2:13 Upon all the cedars of Lebanon that are high and lifted up, And upon all the oaks of Bashan;"
"(2 pts) According to Isaiah 2:13, What is the condition of the cedars of Lebanon?","high, lifted up","Isaiah 2:13 Upon all the cedars of Lebanon that are high and lifted up, And upon all the oaks of Bashan;"
"(1 pts) According to Isaiah 2:14, The day of the Lord will come upon all the high mountains, and upon all the high hills that are what?",lifted up,"Isaiah 2:14 Upon all the high mountains, And upon all the hills that are lifted up;"
"(2 pts) According to Isaiah 2:15, Fill-in-the-blanks: the day of the Lord will come ""upon every high _____, and upon every fortified _____;""?","tower, wall","Isaiah 2:15 Upon every high tower, And upon every fortified wall;"
"(1 pts) According to Isaiah 2:16, Where are the ships from upon which the day of the Lord will come?",Tarshish,"Isaiah 2:16 Upon all the ships of Tarshish, And upon all the beautiful sloops."
"(2 pts) According to Isaiah 2:17, What shall be bowed down, and what shall be brought low?","the loftiness of man, the haughtiness of men","Isaiah 2:17 The loftiness of man shall be bowed down, And the haughtiness of men shall be brought low; The LORD alone will be exalted in that day,"
"(1 pts) According to Isaiah 2:17, Who will be exalted in that day? Be specific?",the Lord alone,"Isaiah 2:17 The loftiness of man shall be bowed down, And the haughtiness of men shall be brought low; The LORD alone will be exalted in that day,"
"(1 pts) According to Isaiah 2:18, What will the Lord utterly abolish?",the idols,Isaiah 2:18 But the idols He shall utterly abolish.
"(2 pts) According to Isaiah 2:19, Where will people go into from the terror of the Lord and from the glory of His majesty?","the holes of the rocks, the caves of the earth","Isaiah 2:19 They shall go into the holes of the rocks, And into the caves of the earth, From the terror of the LORD And the glory of His majesty, When He arises to shake the earth mightily."
"(2 pts) According to Isaiah 2:19, People would go into the holes of the rocks and caves of the earth from what?","the terror of the Lord, the glory of His majesty","Isaiah 2:19 They shall go into the holes of the rocks, And into the caves of the earth, From the terror of the LORD And the glory of His majesty, When He arises to shake the earth mightily."
"(1 pts) According to Isaiah 2:19, What will the Lord arise to do?",shake the earth mightily,"Isaiah 2:19 They shall go into the holes of the rocks, And into the caves of the earth, From the terror of the LORD And the glory of His majesty, When He arises to shake the earth mightily."
"(2 pts) According to Isaiah 2:20, What did people make for themselves to worship that they will cast away in that day?","idols of silver, idols of gold","Isaiah 2:20 In that day a man will cast away his idols of silver And his idols of gold, Which they made, each for himself to worship, To the moles and bats,"
"(2 pts) According to Isaiah 2:20, To whom will they cast the idols of silver and gold that they made for themselves to worship?","the moles, the bats","Isaiah 2:20 In that day a man will cast away his idols of silver And his idols of gold, Which they made, each for himself to worship, To the moles and bats,"
"(2 pts) According to Isaiah 2:21, Where would people go from the terror of the Lord and the glory of His majesty?","the clefts of the rocks, the crags of the rugged rocks","Isaiah 2:21 To go into the clefts of the rocks, And into the crags of the rugged rocks, From the terror of the LORD And the glory of His majesty, When He arises to shake the earth mightily."
"(2 pts) According to Isaiah 2:21, People would go into the clefts of the rocks and the crags of the rugged rocks from what?","the terror of the Lord, the glory of His majesty","Isaiah 2:21 To go into the clefts of the rocks, And into the crags of the rugged rocks, From the terror of the LORD And the glory of His majesty, When He arises to shake the earth mightily."
"(1 pts) According to Isaiah 2:22, Who should we sever ourselves from?",such a man,"Isaiah 2:22 Sever yourselves from such a man, Whose breath is in his nostrils; For of what account is he?"
