"(2 pts) According to Isaiah 5:1, Who does the writer say he sings to, and regarding what?","my Well-beloved, His vineyard",Isaiah 5:1 Now let me sing to my Well-beloved A song of my Beloved regarding His vineyard: My Well-beloved has a vineyard On a very fruitful hill.
"(2 pts) According to Isaiah 5:1, What does the writer say his Well-beloved has, and where?","a vineyard, on a very fruitful hill",Isaiah 5:1 Now let me sing to my Well-beloved A song of my Beloved regarding His vineyard: My Well-beloved has a vineyard On a very fruitful hill.
"(5 pts) According to Isaiah 5:2, What did the person in this song do to His vineyard?","dug it up, cleared out its stones, planted it with the choicest vine, built a tower in its midst, made a winepress in it","Isaiah 5:2 He dug it up and cleared out its stones, And planted it with the choicest vine. He built a tower in its midst, And also made a winepress in it; So He expected it to bring forth good grapes, But it brought forth wild grapes."
"(2 pts) According to Isaiah 5:2, What did the owner of the vineyard expect it to bring forth, and what did it actually bring forth?","good grapes, wild grapes","Isaiah 5:2 He dug it up and cleared out its stones, And planted it with the choicest vine. He built a tower in its midst, And also made a winepress in it; So He expected it to bring forth good grapes, But it brought forth wild grapes."
"(2 pts) According to Isaiah 5:3, The inhabitants and men of what were asked to judge between the owner and His vineyard?","Jerusalem, Judah","Isaiah 5:3 ""And now, O inhabitants of Jerusalem and men of Judah, Judge, please, between Me and My vineyard."
"(2 pts) According to Isaiah 5:3, Who did the owner ask the inhabitants of Jerusalem and the men of Judah to judge between?","Me, My vineyard","Isaiah 5:3 ""And now, O inhabitants of Jerusalem and men of Judah, Judge, please, between Me and My vineyard."
"(3 pts) According to Isaiah 5:4, Fill-in-the-blanks: ""What _____ could have been done to My _____ That I have not _____ in it?""?","more, vineyard, done","Isaiah 5:4 What more could have been done to My vineyard That I have not done in it? Why then, when I expected it to bring forth good grapes, Did it bring forth wild grapes?"
"(2 pts) According to Isaiah 5:4, The owner of the vineyard asked why, when he expected it to bring forth what, it brought forth what?","good grapes, wild grapes","Isaiah 5:4 What more could have been done to My vineyard That I have not done in it? Why then, when I expected it to bring forth good grapes, Did it bring forth wild grapes?"
"(1 pts) According to Isaiah 5:5, The person speaking says that He will tell us what He will do with what?",My vineyard,"Isaiah 5:5 And now, please let Me tell you what I will do to My vineyard: I will take away its hedge, and it shall be burned; And break down its wall, and it shall be trampled down."
"(2 pts) According to Isaiah 5:5, What would He take away and break down in His vineyard?","its hedge, its wall","Isaiah 5:5 And now, please let Me tell you what I will do to My vineyard: I will take away its hedge, and it shall be burned; And break down its wall, and it shall be trampled down."
"(2 pts) According to Isaiah 5:5, When He would take away the hedge and break down the wall of the vineyard, it would be what?","burned, trampled down","Isaiah 5:5 And now, please let Me tell you what I will do to My vineyard: I will take away its hedge, and it shall be burned; And break down its wall, and it shall be trampled down."
"(2 pts) According to Isaiah 5:6, The Lord would lay waste to His vineyard and it would not be what?","pruned, dug","Isaiah 5:6 I will lay it waste; It shall not be pruned or dug, But there shall come up briers and thorns. I will also command the clouds That they rain no rain on it."""
"(2 pts) According to Isaiah 5:6, The Lord would lay waste to His vineyard and what would come up in it?","briers, thorns","Isaiah 5:6 I will lay it waste; It shall not be pruned or dug, But there shall come up briers and thorns. I will also command the clouds That they rain no rain on it."""
"(2 pts) According to Isaiah 5:6, What would He command, and what would they not do (to His vineyard)?","the clouds, rain on it","Isaiah 5:6 I will lay it waste; It shall not be pruned or dug, But there shall come up briers and thorns. I will also command the clouds That they rain no rain on it."""
"(2 pts) According to Isaiah 5:7, Who owned the vineyard, and what did it represent?","the Lord of hosts, the house of Israel","Isaiah 5:7 For the vineyard of the LORD of hosts is the house of Israel, And the men of Judah are His pleasant plant. He looked for justice, but behold, oppression; For righteousness, but behold, a cry for help."
"(1 pts) According to Isaiah 5:7, What were the men of Judah (to the Lord's vineyard)?",His pleasant plant,"Isaiah 5:7 For the vineyard of the LORD of hosts is the house of Israel, And the men of Judah are His pleasant plant. He looked for justice, but behold, oppression; For righteousness, but behold, a cry for help."
"(4 pts) According to Isaiah 5:7, What two things did the Lord look for, and what two things did He find instead?","justice, righteousness, oppression, a cry for help","Isaiah 5:7 For the vineyard of the LORD of hosts is the house of Israel, And the men of Judah are His pleasant plant. He looked for justice, but behold, oppression; For righteousness, but behold, a cry for help."
"(4 pts) According to Isaiah 5:8, Fill-in-the-blanks: ""Woe to those who join _____ to _____; They add _____ to _____.""?","house, house, field, field","Isaiah 5:8 Woe to those who join house to house; They add field to field, Till there is no place Where they may dwell alone in the midst of the land!"
"(1 pts) According to Isaiah 5:8, A woe is pronounced upon those who join houses and fields together until there is no place where they may do what?",dwell alone in the midst of the land,"Isaiah 5:8 Woe to those who join house to house; They add field to field, Till there is no place Where they may dwell alone in the midst of the land!"
"(1 pts) According to Isaiah 5:9, What would be desolate?",many houses,"Isaiah 5:9 In my hearing the LORD of hosts said, ""Truly, many houses shall be desolate, Great and beautiful ones, without inhabitant."
"(3 pts) According to Isaiah 5:9, Many houses would be made desolate. How are they described, and what would they be without?","great, beautiful, inhabitant","Isaiah 5:9 In my hearing the LORD of hosts said, ""Truly, many houses shall be desolate, Great and beautiful ones, without inhabitant."
"(2 pts) According to Isaiah 5:10, How much would ten acres of a vineyard and a homer of seed each yield?","one bath, one ephah","Isaiah 5:10 For ten acres of vineyard shall yield one bath, And a homer of seed shall yield one ephah."""
"(2 pts) According to Isaiah 5:10, What would yield one bath, and what would yield one ephah?","ten acres of vineyard, a homer of seed","Isaiah 5:10 For ten acres of vineyard shall yield one bath, And a homer of seed shall yield one ephah."""
"(2 pts) According to Isaiah 5:11, A woe is pronounced on those who rise when and continue until when to follow intoxicating drink?","early in the morning, night","Isaiah 5:11 Woe to those who rise early in the morning, That they may follow intoxicating drink; Who continue until night, till wine inflames them!"
"(2 pts) According to Isaiah 5:11, A woe is pronounced on those who rise early in the morning that they may follow what, and continue until night till what inflames them?","intoxicating drink, wine","Isaiah 5:11 Woe to those who rise early in the morning, That they may follow intoxicating drink; Who continue until night, till wine inflames them!"
"(4 pts) According to Isaiah 5:12, What instruments were at their feasts (along with wine)?","harp, strings, tambourine, flute","Isaiah 5:12 The harp and the strings, The tambourine and flute, And wine are in their feasts; But they do not regard the work of the LORD, Nor consider the operation of His hands."
"(1 pts) According to Isaiah 5:12, What was in their feasts with different instruments?",wine,"Isaiah 5:12 The harp and the strings, The tambourine and flute, And wine are in their feasts; But they do not regard the work of the LORD, Nor consider the operation of His hands."
"(2 pts) According to Isaiah 5:12, Who did they not regard, and what did they not consider?","the work of the Lord, the operation of His hands","Isaiah 5:12 The harp and the strings, The tambourine and flute, And wine are in their feasts; But they do not regard the work of the LORD, Nor consider the operation of His hands."
"(2 pts) According to Isaiah 5:13, Where had the people gone, and why?","into captivity, because they have no knowledge","Isaiah 5:13 Therefore my people have gone into captivity, Because they have no knowledge; Their honorable men are famished, And their multitude dried up with thirst."
"(2 pts) According to Isaiah 5:13, Who are famished, and who are dried up with thirst?","their honorable men, their multitude","Isaiah 5:13 Therefore my people have gone into captivity, Because they have no knowledge; Their honorable men are famished, And their multitude dried up with thirst."
"(1 pts) According to Isaiah 5:14, What has enlarged itself?",Sheol,"Isaiah 5:14 Therefore Sheol has enlarged itself And opened its mouth beyond measure; Their glory and their multitude and their pomp, And he who is jubilant, shall descend into it."
"(4 pts) According to Isaiah 5:14, What and who would descend into Sheol?","their glory, their multitude, their pomp, he who is jubilant","Isaiah 5:14 Therefore Sheol has enlarged itself And opened its mouth beyond measure; Their glory and their multitude and their pomp, And he who is jubilant, shall descend into it."
"(1 pts) According to Isaiah 5:15, Who would be brought down?",people,"Isaiah 5:15 People shall be brought down, Each man shall be humbled, And the eyes of the lofty shall be humbled."
"(2 pts) According to Isaiah 5:15, Who and what would be humbled?","each man, the eyes of the lofty","Isaiah 5:15 People shall be brought down, Each man shall be humbled, And the eyes of the lofty shall be humbled."
"(2 pts) According to Isaiah 5:16, The Lord of hosts and the God who is holy would each be what?","exalted in judgment, hallowed in righteousness","Isaiah 5:16 But the LORD of hosts shall be exalted in judgment, And God who is holy shall be hallowed in righteousness."
"(2 pts) According to Isaiah 5:16, Who would be exalted in judgment, and who would be hallowed in righteousness?","the Lord of hosts, the God who is holy","Isaiah 5:16 But the LORD of hosts shall be exalted in judgment, And God who is holy shall be hallowed in righteousness."
"(2 pts) According to Isaiah 5:17, Who will feed, and where?","lambs, their pasture","Isaiah 5:17 Then the lambs shall feed in their pasture, And in the waste places of the fat ones strangers shall eat."
"(1 pts) According to Isaiah 5:17, Where will strangers eat?",in the waste places of the fat ones,"Isaiah 5:17 Then the lambs shall feed in their pasture, And in the waste places of the fat ones strangers shall eat."
"(3 pts) According to Isaiah 5:18, Fill-in-the-blanks: ""Woe to those who draw _____ with _____ of _____.""?","iniquity, cords, vanity","Isaiah 5:18 Woe to those who draw iniquity with cords of vanity, And sin as if with a cart rope;"
"(1 pts) According to Isaiah 5:18, A woe is pronounced on those who draw sin as if with what?",a cart rope,"Isaiah 5:18 Woe to those who draw iniquity with cords of vanity, And sin as if with a cart rope;"
"(4 pts) According to Isaiah 5:19, Fill-in-the-blanks: ""Let Him make _____ and _____ His ____, that we may ____ it.""?","speed, hasten, work, see","Isaiah 5:19 That say, ""Let Him make speed and hasten His work, That we may see it; And let the counsel of the Holy One of Israel draw near and come, That we may know it."""
"(4 pts) According to Isaiah 5:19, Fill-in-the-blanks: ""Let the _____ of the Holy One of Israel draw _____ and _____, that we may _____ it.""?","counsel, near, come, know","Isaiah 5:19 That say, ""Let Him make speed and hasten His work, That we may see it; And let the counsel of the Holy One of Israel draw near and come, That we may know it."""
"(2 pts) According to Isaiah 5:20, A woe is pronounced on those who call what good, and what evil?","evil, good","Isaiah 5:20 Woe to those who call evil good, and good evil; Who put darkness for light, and light for darkness; Who put bitter for sweet, and sweet for bitter!"
"(2 pts) According to Isaiah 5:20, A woe is pronounced on those who put what for light, and what for darkness?","darkness, light","Isaiah 5:20 Woe to those who call evil good, and good evil; Who put darkness for light, and light for darkness; Who put bitter for sweet, and sweet for bitter!"
"(2 pts) According to Isaiah 5:20, A woe is pronounced on those who put what for sweet, and what for bitter?","bitter, sweet","Isaiah 5:20 Woe to those who call evil good, and good evil; Who put darkness for light, and light for darkness; Who put bitter for sweet, and sweet for bitter!"
"(2 pts) According to Isaiah 5:21, A woe is pronounced on those who are wise in what, and prudent in what?","their own eyes, their own sight","Isaiah 5:21 Woe to those who are wise in their own eyes, And prudent in their own sight!"
"(2 pts) According to Isaiah 5:22, Woe to men who are mighty at what, and valiant for what?","drinking wine, mixing intoxicating drink","Isaiah 5:22 Woe to men mighty at drinking wine, Woe to men valiant for mixing intoxicating drink,"
"(1 pts) According to Isaiah 5:23, What might some justify the wicked for?",a bribe,"Isaiah 5:23 Who justify the wicked for a bribe, And take away justice from the righteous man!"
"(1 pts) According to Isaiah 5:23, Who might have justice taken away from him?",the righteous man,"Isaiah 5:23 Who justify the wicked for a bribe, And take away justice from the righteous man!"
"(2 pts) According to Isaiah 5:24, What do fire and flame each devour or consume in this comparison?","stubble, chaff","Isaiah 5:24 Therefore, as the fire devours the stubble, And the flame consumes the chaff, So their root will be as rottenness, And their blossom will ascend like dust; Because they have rejected the law of the LORD of hosts, And despised the word of the Holy One of Israel."
"(2 pts) According to Isaiah 5:24, What will be as rottenness, and what will ascend like dust?","their root, their blossom","Isaiah 5:24 Therefore, as the fire devours the stubble, And the flame consumes the chaff, So their root will be as rottenness, And their blossom will ascend like dust; Because they have rejected the law of the LORD of hosts, And despised the word of the Holy One of Israel."
"(2 pts) According to Isaiah 5:24, They would experience the bad things mentioned because they did what two things?","rejected the law of the Lord of hosts, despised the word of the Holy One of Israel","Isaiah 5:24 Therefore, as the fire devours the stubble, And the flame consumes the chaff, So their root will be as rottenness, And their blossom will ascend like dust; Because they have rejected the law of the LORD of hosts, And despised the word of the Holy One of Israel."
"(1 pts) According to Isaiah 5:25, When the anger of the Lord is aroused against His people, what is stretched out against them?",His hand,"Isaiah 5:25 Therefore the anger of the LORD is aroused against His people; He has stretched out His hand against them And stricken them, And the hills trembled. Their carcasses were as refuse in the midst of the streets. For all this His anger is not turned away, But His hand is stretched out still."
"(1 pts) According to Isaiah 5:25, What trembled when the Lord's anger was aroused against them?",the hills,"Isaiah 5:25 Therefore the anger of the LORD is aroused against His people; He has stretched out His hand against them And stricken them, And the hills trembled. Their carcasses were as refuse in the midst of the streets. For all this His anger is not turned away, But His hand is stretched out still."
"(1 pts) According to Isaiah 5:25, What was like refuse in the midst of the streets?",their carcasses,"Isaiah 5:25 Therefore the anger of the LORD is aroused against His people; He has stretched out His hand against them And stricken them, And the hills trembled. Their carcasses were as refuse in the midst of the streets. For all this His anger is not turned away, But His hand is stretched out still."
"(2 pts) According to Isaiah 5:25, What is not turned away, and what is still stretched out (even though the Lord had done all the things mentioned before)?","His anger, His hand","Isaiah 5:25 Therefore the anger of the LORD is aroused against His people; He has stretched out His hand against them And stricken them, And the hills trembled. Their carcasses were as refuse in the midst of the streets. For all this His anger is not turned away, But His hand is stretched out still."
"(1 pts) According to Isaiah 5:26, What will He (the Lord) lift up to the nations from afar?",a banner,"Isaiah 5:26 He will lift up a banner to the nations from afar, And will whistle to them from the end of the earth; Surely they shall come with speed, swiftly."
"(1 pts) According to Isaiah 5:26, What will He (the Lord) do to them from the end of the earth?",whistle,"Isaiah 5:26 He will lift up a banner to the nations from afar, And will whistle to them from the end of the earth; Surely they shall come with speed, swiftly."
"(2 pts) According to Isaiah 5:26, What would they come with, and how?","speed, swiftly","Isaiah 5:26 He will lift up a banner to the nations from afar, And will whistle to them from the end of the earth; Surely they shall come with speed, swiftly."
"(4 pts) According to Isaiah 5:27, Fill-in-the-blanks: ""No one will be _____ or _____ among them, No one will _____ or _____.""?","weary, stumble, slumber, sleep","Isaiah 5:27 No one will be weary or stumble among them, No one will slumber or sleep; Nor will the belt on their loins be loosed, Nor the strap of their sandals be broken;"
"(2 pts) According to Isaiah 5:27, What would not be loosed, and what would not be broken?","the belt on their loins, the strap of their sandals","Isaiah 5:27 No one will be weary or stumble among them, No one will slumber or sleep; Nor will the belt on their loins be loosed, Nor the strap of their sandals be broken;"
"(2 pts) According to Isaiah 5:28, What are their arrows and bows each like?","sharp, bent","Isaiah 5:28 Whose arrows are sharp, And all their bows bent; Their horses' hooves will seem like flint, And their wheels like a whirlwind."
"(2 pts) According to Isaiah 5:28, What would seem like flint, and what would be like a whirlwind?","their horses' hooves, their wheels","Isaiah 5:28 Whose arrows are sharp, And all their bows bent; Their horses' hooves will seem like flint, And their wheels like a whirlwind."
"(2 pts) According to Isaiah 5:29, What would their roaring and their roar be like?","a lion, young lions","Isaiah 5:29 Their roaring will be like a lion, They will roar like young lions; Yes, they will roar And lay hold of the prey; They will carry it away safely, And no one will deliver."
"(4 pts) According to Isaiah 5:29, Fill-in-the-blanks: ""They will _____ And lay hold of the _____; They will carry it away _____, And no one will _____.""?","roar, prey, safely, deliver","Isaiah 5:29 Their roaring will be like a lion, They will roar like young lions; Yes, they will roar And lay hold of the prey; They will carry it away safely, And no one will deliver."
"(1 pts) According to Isaiah 5:30, What would they roar against them like in that day?",the roaring of the sea,"Isaiah 5:30 In that day they will roar against them Like the roaring of the sea. And if one looks to the land, Behold, darkness and sorrow; And the light is darkened by the clouds."
"(3 pts) According to Isaiah 5:30, What would one observe if he looked to the land?","darkness, sorrow, the light is darkened by the clouds","Isaiah 5:30 In that day they will roar against them Like the roaring of the sea. And if one looks to the land, Behold, darkness and sorrow; And the light is darkened by the clouds."
